nr;temperature_indoor;temperature_outdoor;door
535;13.12;11.20;0
536;13.12;11.20;0
537;13.12;11.20;0
538;13.12;11.20;0
539;13.12;11.20;0
540;13.12;11.20;0
541;13.12;11.20;0
542;13.12;11.20;0
543;13.12;10.88;0
544;13.12;10.88;0
545;13.12;10.88;0
546;13.12;10.88;0
547;13.12;10.88;0
548;13.12;10.88;0
549;13.12;10.88;0
550;13.12;10.88;0
551;13.12;10.88;0
552;13.12;10.88;0
553;13.12;10.88;0
554;13.12;10.88;0
555;13.12;10.88;0
556;13.12;11.20;0
557;13.12;10.88;0
558;13.12;10.88;0
559;13.12;10.88;0
560;13.12;11.20;0
561;13.12;10.88;0
562;13.12;11.20;0
563;13.12;10.88;0
564;13.12;11.20;0
565;13.12;11.20;0
566;13.12;11.20;0
567;13.12;11.20;0
568;13.12;11.20;0
569;13.12;11.20;0
570;13.12;11.20;0
571;13.12;11.20;0
572;13.12;11.20;0
573;13.12;10.88;0
574;13.12;11.20;0
575;13.12;10.88;0
576;13.12;11.20;0
577;13.12;10.88;0
578;13.12;11.20;0
579;13.12;10.88;0
580;13.12;11.20;0
581;13.12;11.20;0
582;13.12;11.20;0
583;13.12;11.20;0
584;13.12;11.20;0
585;13.12;11.20;0
586;13.12;11.20;0
587;13.12;10.88;0
588;13.12;11.20;0
589;13.12;10.88;0
590;13.12;10.88;0
591;13.12;10.88;0
592;13.12;10.88;0
593;13.12;10.88;0
594;13.12;10.88;0
595;13.12;10.88;0
596;13.12;10.88;0
597;13.12;10.88;0
598;13.12;10.88;0
599;13.12;10.88;0
600;13.12;10.88;0
601;13.12;10.88;0
602;13.12;10.88;0
603;13.12;10.88;0
604;13.12;10.88;0
605;13.12;10.88;0
606;13.12;10.88;0
607;13.12;10.88;0
608;13.12;10.88;0
609;12.80;10.88;0
610;13.12;10.88;0
611;12.80;10.88;0
612;12.80;10.88;0
613;12.80;10.88;0
614;12.80;10.88;0
615;12.80;10.88;0
616;12.80;10.88;0
617;12.80;10.88;0
618;12.80;10.88;0
619;12.80;10.88;0
620;12.80;10.88;0
621;12.80;10.88;0
622;12.80;10.88;0
623;12.80;10.88;0
624;12.80;10.88;0
625;12.80;10.88;0
626;12.80;10.88;0
627;12.80;10.88;0
628;12.80;10.88;0
629;12.80;10.88;0
630;12.80;10.88;0
631;12.80;10.56;0
632;12.80;10.56;0
633;12.80;10.56;0
634;12.80;10.88;0
635;12.80;10.56;0
636;12.80;10.88;0
637;12.80;10.88;0
638;12.80;10.88;0
639;12.80;10.88;0
640;12.80;10.88;0
641;12.80;10.88;0
642;12.80;10.88;0
643;12.80;10.88;0
644;12.80;10.88;0
645;12.80;10.88;0
646;12.80;10.88;0
647;12.80;10.56;0
648;12.80;10.88;0
649;12.80;10.56;0
650;12.80;10.88;0
651;12.80;10.56;0
652;12.80;10.88;0
653;12.80;10.88;0
654;12.80;10.56;0
655;12.80;10.56;0
656;12.80;10.56;0
657;12.80;10.56;0
658;12.80;10.56;0
659;12.80;10.56;0
660;12.80;10.56;0
661;12.80;10.56;0
662;12.80;10.56;0
663;12.80;10.56;0
664;12.80;10.56;0
665;12.80;10.56;0
666;12.80;10.56;0
667;12.80;10.56;0
668;12.80;10.56;0
669;12.80;10.56;0
670;12.80;10.56;0
671;12.80;10.56;0
672;12.80;10.56;0
673;12.80;10.56;0
674;12.80;10.56;0
675;12.48;10.56;0
676;12.48;10.56;0
677;12.48;10.56;0
678;12.80;10.56;0
679;12.48;10.56;0
680;12.48;10.56;0
681;12.48;10.56;0
682;12.48;10.56;0
683;12.48;10.56;0
684;12.48;10.56;0
685;12.48;10.56;0
686;12.48;10.56;0
687;12.48;10.56;0
688;12.48;10.56;0
689;12.48;10.56;0
690;12.48;10.56;0
691;12.48;10.56;0
692;12.48;10.56;0
693;12.48;10.56;0
694;12.48;10.56;0
695;12.48;10.56;0
696;12.48;10.56;0
697;12.48;10.56;0
698;12.48;10.56;0
699;12.48;10.56;0
700;12.48;10.56;0
701;12.48;10.56;0
702;12.48;10.56;0
703;12.48;10.56;0
704;12.48;10.56;0
705;12.48;10.56;0
706;12.48;10.56;0
707;12.48;10.56;0
708;12.48;10.56;0
709;12.48;10.56;0
710;12.48;10.56;0
711;12.48;10.56;0
712;12.48;10.56;0
713;12.48;10.56;0
714;12.48;10.56;0
715;12.48;10.56;0
716;12.48;10.56;0
717;12.48;10.56;0
718;12.48;10.56;0
719;12.48;10.56;0
720;12.48;10.56;0
721;12.48;10.56;0
722;12.48;10.56;0
723;12.48;10.56;0
724;12.48;10.56;0
725;12.48;10.56;0
726;12.48;10.56;0
727;12.48;10.56;0
728;12.48;10.56;0
729;12.48;10.56;0
730;12.48;10.56;0
731;12.48;10.56;0
732;12.48;10.56;0
733;12.48;10.56;0
734;12.48;10.56;0
735;12.48;10.56;0
736;12.48;10.56;0
737;12.48;10.56;0
738;12.48;10.56;0
739;12.48;10.56;0
740;12.48;10.56;0
741;12.48;10.56;0
742;12.48;10.56;0
743;12.48;10.56;0
744;12.48;10.56;0
745;12.48;10.56;0
746;12.48;10.56;0
747;12.48;10.24;0
748;12.48;10.56;0
749;12.48;10.56;0
750;12.48;10.56;0
751;12.48;10.56;0
752;12.48;10.56;0
753;12.48;10.56;0
754;12.48;10.56;0
755;12.48;10.56;0
756;12.48;10.56;0
757;12.48;10.56;0
758;12.48;10.56;0
759;12.48;10.56;0
760;12.48;10.56;0
761;12.16;10.56;0
762;12.48;10.56;0
763;12.16;10.56;0
764;12.16;10.56;0
765;12.16;10.56;0
766;12.16;10.56;0
767;12.16;10.56;0
768;12.16;10.56;0
769;12.16;10.56;0
770;12.16;10.56;0
771;12.16;10.56;0
772;12.16;10.56;0
773;12.16;10.56;0
774;12.16;10.56;0
775;12.16;10.56;0
776;12.16;10.56;0
777;12.16;10.56;0
778;12.16;10.56;0
779;12.16;10.24;0
780;12.16;10.56;0
781;12.16;10.56;0
782;12.16;10.56;0
783;12.16;10.56;0
784;12.16;10.56;0
785;12.16;10.56;0
786;12.16;10.56;0
787;12.16;10.56;0
788;12.16;10.56;0
789;12.16;10.56;0
790;12.16;10.56;0
791;12.16;10.56;0
792;12.16;10.56;0
793;12.16;10.56;0
794;12.16;10.56;0
795;12.16;10.56;0
796;12.16;10.56;0
797;12.16;10.56;0
798;12.16;10.56;0
799;12.16;10.56;0
800;12.16;10.56;0
801;12.16;10.56;0
802;12.16;10.56;0
803;12.16;10.56;0
804;12.16;10.56;0
805;12.16;10.56;0
806;12.16;10.56;0
807;12.16;10.56;0
808;12.16;10.56;0
809;12.16;10.56;0
810;12.16;10.56;0
811;12.16;10.56;0
812;12.16;10.56;0
813;12.16;10.56;0
814;12.48;10.56;0
815;12.16;10.56;0
816;12.16;10.56;0
817;12.16;10.56;0
818;12.16;10.56;0
819;12.16;10.56;0
820;12.48;10.56;0
821;12.16;10.56;0
822;12.48;10.56;0
823;12.48;10.56;0
824;12.48;10.56;0
825;12.48;10.56;0
826;12.48;10.88;0
827;12.48;10.56;0
828;12.48;10.88;0
829;12.48;10.88;0
830;12.48;10.88;0
831;12.48;10.88;0
832;12.48;10.88;0
833;12.48;10.56;0
834;12.48;10.88;0
835;12.48;10.88;0
836;12.48;10.88;0
837;12.48;10.56;0
838;12.48;10.88;0
839;12.48;10.56;0
840;12.48;10.88;0
841;12.48;10.88;0
842;12.48;10.88;0
843;12.48;10.88;0
844;12.48;10.88;0
845;12.48;10.88;0
846;12.48;10.88;0
847;12.48;10.88;0
848;12.48;10.88;0
849;12.48;10.88;0
850;12.48;10.88;0
851;12.48;10.88;0
852;12.48;10.88;0
853;12.48;10.88;0
854;12.48;10.88;0
855;12.48;10.88;0
856;12.48;10.88;0
857;12.48;10.88;0
858;12.48;10.88;0
859;12.48;10.88;0
860;12.48;10.88;0
861;12.48;10.88;0
862;12.48;10.88;0
863;12.48;10.88;0
864;12.48;10.88;0
865;12.48;10.88;0
866;12.48;10.88;0
867;12.48;10.88;0
868;12.48;10.88;0
869;12.48;10.88;0
870;12.48;10.88;0
871;12.48;10.88;0
872;12.48;10.88;0
873;12.48;10.88;0
874;12.80;10.88;0
875;12.48;10.88;0
876;12.48;11.20;0
877;12.48;10.88;0
878;12.80;11.20;0
879;12.48;10.88;0
880;12.80;10.88;0
881;12.48;10.88;0
882;12.80;11.20;0
883;12.80;10.88;0
884;12.80;11.20;0
